"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
47162,2006,1965,0,2,1,14,38373.75,NA
33794,1996,1964,1,1,5,13,8156,NA
30817,1994,1944,1,1,1,12,382,NA
39133,2000,1970,1,1,4,12,18287,4
16521,1984,1944,0,1,1,16,33016,4
17007,1984,1945,0,1,5,14,12381,4
9860,1978,1942,1,1,5,12,16284,NA
30692,1994,1960,0,1,1,14,21010,3
29897,1994,1956,1,2,1,14,21010,NA
23225,1988,1929,0,2,1,8,18094,NA
21782,1987,1955,1,2,3,11,11250,2
14516,1983,1956,0,1,3,10,12779,NA
20471,1987,1964,0,1,5,16,7500,4
8250,1977,1949,1,1,5,15,8667,3
19624,1986,1927,0,1,1,16,45866,NA
20110,1987,1959,0,2,5,12,13750,3
21976,1988,1960,0,3,3,14,22919,4
52652,2008,1982,1,1,1,12,17403.75,NA
50371,2006,1960,0,2,1,12,18476.25,3
32595,1996,1965,1,1,5,13,8156,4
17899,1985,1948,1,1,1,12,22432,4
50524,2006,1971,1,1,3,13,6395.625,NA
5650,1975,1913,0,1,1,16,27793,4
18527,1985,1932,1,1,1,12,17154,4
23268,1988,1967,1,1,5,14,1930,4
4694,1975,1920,0,2,1,5,50027,4
36867,1998,1950,1,1,1,16,31005,3
38504,2000,1956,0,1,4,14,29925,4
31703,1994,1935,0,1,3,12,14325,3
17536,1985,1950,0,1,1,12,19793,3
21652,1987,1960,1,2,1,12,16250,4
9539,1978,1955,1,1,5,12,8142,NA
53512,2010,1970,0,1,5,15,5827.5,2
47342,2006,1986,1,1,5,12,3126.75,NA
30329,1994,1959,1,1,3,13,1528,3
8236,1977,1954,1,1,3,12,6741,3
25037,1990,1922,0,1,1,12,1774,2
32502,1996,1936,0,1,3,14,23563,3
38181,2000,1971,1,1,5,8,7481,3
14466,1983,1962,0,2,5,12,12779,NA
7951,1977,1941,1,1,1,12,21669,3
39655,2000,1958,0,1,1,15,36575,4
43819,2004,1971,1,1,5,16,49813.5,3
28042,1993,1949,0,1,1,16,53055,4
47855,2006,1977,0,3,5,20,46901.25,3
47459,2006,1943,0,2,1,12,38373.75,4
30483,1994,1962,1,1,3,12,14325,NA
29673,1994,1964,0,1,5,10,382,2
25067,1990,1968,1,2,5,14,7984,3
5107,1975,1924,1,1,1,12,16676,3
8961,1977,1936,0,1,1,14,31299,4
26471,1991,1969,1,1,5,15,3760,3
14561,1983,1943,1,1,5,18,21299,NA
48251,2006,1965,0,1,1,12,25582.5,NA
50720,2006,1960,0,1,1,16,159292.27,4
46213,2004,1961,1,1,2,9,11321.25,NA
24744,1989,1954,0,1,1,10,10436,3
9850,1978,1954,1,2,4,11,3619,NA
47967,2006,1951,1,3,1,2,9238.125,3
